"Add Timeframe","Tijdslot toevoegen"
"Weekday","Dag"
"Earliest time","Vanaf"
"Latest time","Tot"
"Fee","Toeslag"
"Sort Order","Sorteervolgorde"
"Validate Webhook","Test Webhook"
"Live","Productie"
"Test","Test"
"Off","Uit"
"Monday","Maandag"
"Tuesday","Dinsdag"
"Wednesday","Woensdag"
"Thursday","Donderdag"
"Friday","Vrijdag"
"Saturday","Zaterdag"
"Sunday","Zondag"
"Could not create a Webhook token","Kon geen webhook token aanmaken"
"Webhook already created","Webhook bestaat al"
"Webhook created! Token was %1 available","Webhook aangemaakt! Token was %1 beschikbaar"
"An exception occurred while creating the webhook","Er is een fout opgetreden tijdens het aanmaken van de webhook"
"User not authorized","Gebruiker heeft geen rechten"
"Request is not a RoutiGo webhook request","Aanvraag komt niet overeen met een RoutiGo webhook request"
"Only ROUTE_PLANNED event is implemented","Alleen ROUTE_PLANNED is toegestaan in webhook"
"Tourlegs needs to be supplied to be processed","Tourlegs moet in de request beschikbaar zijn"
"Uploaded to RoutiGo with batchId %1","Upgeload naar RoutiGo met batchId %1"
"Magento version compatibility","Ondersteunde Magento versies"
"Supported Magento versions","Ondersteunde Magento versies"
"RoutiGo version","RoutiGo versie"
"Your PHP version","PHP versie"
"Support","Ondersteuning"
"This extension is developed by <a href='https://tig.nl' target='_BLANK'>TIG</a>","Deze extensie is ontwikkeld door <a href="'https://tig.nl' target='_BLANK'>TIG</a>"
"Extension basic configuration and account information","Extensie configuratie en account informatie"
"Please contact:","Neem contact op met:"
"%1 : Zend Http Client exception","%1 : Zend Http Client foutmelding"
"Enabled","Geactiveerd"
"Title","Titel"
"Method Name","Naam"
"Price","Prijs"
"Calculate Handling Fee","Berkenen toeslag"
"Handling Fee","Toeslag"
"Ship to Applicable Countries","Verzenden naar beschikbare landen"
"Ship to Specific Countries","Verzenden naar specifieke landen"
"Show Method if Not Applicable","Toon verzendmethode wanneer niet beschikbaar"
"Displayed Error Message","Getoonde foutmelding"
"Account settings","Account instellingen"
"Mode","Modus"
"Api Key","Api sleutel"
"<![CDATA[Please save your configuration before testing the validation of the webhook.]]>","<![CDATA[Sla de configuratie op voor het testen van de webhook.]]>"
"Settings","Instellingen"
"Cutoff time","Cut-off tijd"
"<![CDATA[When an order is placed after this time, another day will be added to the shipping duration.]]>","<![CDATA[Wanneer een order wordt geplaatst na deze tijd zal er een extra dag bij de verzendtijd opgeteld worden.]]>"
"Shipment days","Verzenddagen"
"<![CDATA[Select on which days of the week orders are shipped.]]>","<![CDATA[Selecteer op welke dagen bestellingen worden verzonden.]]>"
"Timeframes","Tijdsloten"
"Enable available timeframes","Activeer beschikbare tijdsloten"
"<![CDATA[Configure the available timeframes visible for customers in the frontend.]]>","<![CDATA[Stel de getoonde tijdsloten in voor de website.]]>"
"Upload","Upload"
"Order status to upload automatically","Automatisch uploaden voor status"
"<![CDATA[Upload orders with this status automatically to RoutiGo]]>","<![CDATA[Orders met deze status worden automatisch geupload naar RoutiGo]]>"
"Change Order Statuses after automatic upload","Verander status na upload"
"Version & Support","Versie & Ondersteuning"
"RoutiGo - Plan Orders","RoutiGo - Plan Orders"
"Between","Tussen"
"and","en"
